Part 2: top-5 most popular drop locations,,
DOLocationID,number_of_dropoffs,
61,6017,
138,5150,
239,4133,
244,4073,
129,4053,
Part 3: top-5 most popular pickup locations,,
PULocationID,number_of_pickups,
74,17471,
75,13427,
244,10025,
41,9733,
82,9443,
Part 4: top-5 most popular pickup-dropoff pairs,,
PULocationID,DOLocationID,count of pickup-dropoff
74,238,1370
74,263,1197
74,236,1192
74,239,992
95,121,987
"Part 5: the number of drop-offs over the period from January 1, 2019 (inclusive of January 1) to January 5, 2019 (inclusive of January 5)",,
day,total_activity,
43466,7977,
43467,9277,
43468,10186,
43469,10536,
43470,9527,
Part 6: top-3 locations with the maximum overall activity,,
locationID,total_activity,
74,53164253,
75,42362185,
244,40831825,
